,title,movie_text_data
64,The Children in the House,"The Children in the House The Children in the House Drama Chester M. Franklin, Sidney Franklin Roy Somerville Fine Arts Film Company Norma Talmadge, Alice Wilson, Jewel Carmen, William Hinckley, W.E. Lawrence, George C. Pearce, Eugene Pallette, Walter Long, Alva D. Blake, Georgie Stone, Violet Radcliffe, 'Baby' Carmen De Rue, Francis Carpenter, Ninon Fovieri Roy Somerville has turned out a rather interesting story that will hold the interest of the majority of audiences as produced by the Triangle-Fine Arts Company. It is a five-reel feature ..."
65,Civilization,"Civilization Civilization Drama Reginald Barker, Thomas H. Ince C. Gardner Sullivan Thomas H. Ince Corporation Howard Hickman, Enid Markey, Lola May, Kate Bruce, J. Frank Burke, Claire Du Brey, George Fisher, Charles K. French, Thomas H. Ince, Herschel Mayall, Fanny Midgley, J. Barney Sherry, Jerome Storm, Ethel Ullman, Woodrow Wilson Christ takes on the form of a pacifist count to end a senseless war."
66,The Devil's Needle,"The Devil's Needle The Devil's Needle Drama Chester Withey Roy Somerville, Chester Withey Fine Arts Film Company Tully Marshall, Norma Talmadge, Marguerite Marsh, F.A. Turner, Howard Gaye, John E. Brennan, Paul Le Blanc Wynne Mortimer, a pampered society girl and daughter of William Mortimer, a prominent business man, chances to meet David White, a young artist whose fame is already assured, at an art ..."
68,Flirting with Fate,"Flirting with Fate Flirting with Fate Adventure, Comedy Christy Cabanne Robert M. Baker Fine Arts Film Company Douglas Fairbanks, Jewel Carmen, Howard Gaye, W.E. Lawrence, George Beranger, Dorothy Haydel, Lillian Langdon, Wilbur Higby, J.P. McCarty In the midst of an emotional depression, a man hires a murderer to kill him. But the despair soon passes, and the man must now escape the killer he's hired to end his life."
69,Going Straight,"Going Straight Going Straight Crime, Drama Chester M. Franklin, Sidney Franklin Bernard McConville Fine Arts Film Company Norma Talmadge, Ralph Lewis, Ninon Fovieri, Francis Carpenter, Fern Collier, Ruth Handforth, Eugene Pallette, Georgie Stone, Kate Toncray, 'Baby' Carmen De Rue, Violet Radcliffe A man and his wife both have criminal pasts, but have quit crime and are now respectable citizens. One day a member of their old gang shows up and threatens to expose them if they don't ..."
70,The Good Bad-Man,"The Good Bad-Man The Good Bad-Man Romance, Western Allan Dwan Douglas Fairbanks Fine Arts Film Company Douglas Fairbanks, Sam De Grasse, Pomeroy Cannon, Joseph Singleton, Bessie Love, Mary Alden, George Beranger, Fred Burns An outlaw calling himself Passin' Through halts his ""evil"" ways long enough to help out some children in difficulty."
71,Gretchen the Greenhorn,"Gretchen the Greenhorn Gretchen the Greenhorn Crime, Drama, Romance Chester M. Franklin, Sidney Franklin Bernard McConville Fine Arts Film Company Dorothy Gish, Ralph Lewis, Eugene Pallette, Elmo Lincoln, Frank Bennett, Georgie Stone, Kate Bruce A kindly Dutch immigrant and her bumbling father are blackmailed by a gang of counterfeiters."
72,The Half-Breed,"The Half-Breed The Half-Breed Western Allan Dwan Bret Harte, Anita Loos Fine Arts Film Company Douglas Fairbanks, Alma Rubens, Sam De Grasse, Tom Wilson, Frank Brownlee, Jewel Carmen, George Beranger An outcast named Lo Dorman encounters a young woman lost in the woods. He defends her from danger in the forest and from Sheriff Dunn."
73,Hell's Hinges,"Hell's Hinges Hell's Hinges Romance, Western Charles Swickard, William S. Hart C. Gardner Sullivan, C. Gardner Sullivan Kay-Bee Pictures William S. Hart, Clara Williams, Jack Standing, Alfred Hollingsworth, Robert McKim, J. Frank Burke, Louise Glaum In the wayward western town known as Hell's Hinges, a local tough guy is reformed by the faith of a good woman."
74,His Picture in the Papers,"His Picture in the Papers His Picture in the Papers Comedy John Emerson John Emerson, Anita Loos Fine Arts Film Company Douglas Fairbanks, Clarence Handyside, Rene Boucicault, Jean Temple, Charles Butler, Loretta Blake, Homer Hunt, Helena Rupport A young man can only get the woman he loves if he becomes famous and manages to get his picture in the newspapers. He determines to let nothing stand in the way of his doing exactly that, ..."
75,Hoodoo Ann,"Hoodoo Ann Hoodoo Ann Comedy, Drama, Romance Lloyd Ingraham D.W. Griffith Fine Arts Film Company Mae Marsh, Robert Harron, William H. Brown, Wilbur Higby, Loyola O'Connor, Mildred Harris, Pearl Elmore, Anna Dodge, Charles Lee, Elmo Lincoln, Robert Lawler, Carl Stockdale A little orphan girl believes that her life is falling apart. It seems that everything that could possibly go wrong does go wrong. However, certain things happen that begin to make her ..."
76,Intolerance: Love's Struggle Throughout the Ages,"Intolerance Intolerance: Love's Struggle Throughout the Ages Drama, History D.W. Griffith D.W. Griffith, Anita Loos Triangle Film Corporation Lillian Gish, Mae Marsh, Robert Harron, F.A. Turner, Sam De Grasse, Vera Lewis, Mary Alden, Eleanor Washington, Pearl Elmore, Lucille Browne, Julia Mackley, Miriam Cooper, Walter Long, Tom Wilson, Ralph Lewis The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history."
78,The Matrimaniac,"The Matrimaniac The Matrimaniac Comedy, Romance Paul Powell Octavus Roy Cohen, John Emerson Fine Arts Film Company Douglas Fairbanks, Constance Talmadge, Wilbur Higby, Fred Warren, Clyde E. Hopkins, Winifred Westover A young couple attempts to elope, with the bride's irate father in hot pursuit. The train stops briefly and the young man dashes off to find a minister, but before he can get himself and ..."
80,Reggie Mixes In,"Reggie Mixes In Reggie Mixes In Action, Comedy, Drama Christy Cabanne Robert M. Baker, Roy Somerville Fine Arts Film Company Douglas Fairbanks, Bessie Love, Joseph Singleton, William Lowery, Wilbur Higby, Frank Bennett, Allan Sears, Lillian Langdon, Alma Rubens, Alberta Lee, Tom Wilson Reggie, a wealthy young man about town, is eager for excitement, so he takes to visiting the rougher sections of the city in search of thrills. He meets and falls for a cabaret singer, but ..."
81,The Return of Draw Egan,"The Return of Draw Egan The Return of Draw Egan Action, Adventure, Romance William S. Hart C. Gardner Sullivan, C. Gardner Sullivan Kay-Bee Pictures William S. Hart, Margery Wilson, Robert McKim, Louise Glaum, J.P. Lockney Outlaw leader ""Draw"" Egan, believed dead, turns up in the town of Yellow Dog. The townsfolk believe him to be William Blake, a strong and law-abiding man. They appoint him sheriff to rid ..."
83,Sherlock Holmes,"Sherlock Holmes Sherlock Holmes Mystery Arthur Berthelet H.S. Sheldon, William Gillette The Essanay Film Manufacturing Company William Gillette, Marjorie Kay, Ernest Maupain, Edward Fielding, Mario Majeroni, Grace Reals, William Postance, Stewart Robbins, Burford Hampden, Chester Beery, Frank Hamilton, Fred Malatesta, Leona Ball, Hugh Thompson, Ludwig Kreiss When a couple of swindlers hold young Alice Faulkner against her will in order to discover the whereabouts of letters which could spell scandal for the royal family, Sherlock Holmes is on the case."
84,Shoes,"Shoes Shoes Drama Lois Weber Stella Wynne Herron, Jane Addams Universal Film Manufacturing Company Mary MacLaren, Harry Griffith, Mattie Witting, Jessie Arnold, William V. Mong A young working girl must support her family on only five dollars (~ $120 in 2020) a week. The strain of trying to feed, house and clothe her mother, her father and three sisters finally ..."
85,Snow White,"Snow White Snow White Fantasy, Romance J. Searle Dawley Winthrop Ames, Winthrop Ames Famous Players Film Company Dorothy Cumming, Creighton Hale, Lionel Braham, Alice Washburn, Marguerite Clark Snow White is a motherless princess, who arouses the jealousy and hatred of Mary Jane, her mother's former lady-in-waiting, who is the ugliest woman in the kingdom, but aspires to the ..."
86,The Social Secretary,"The Social Secretary The Social Secretary Comedy, Drama John Emerson John Emerson, Anita Loos Fine Arts Film Company Norma Talmadge, Kate Lester, Helen Weir, Gladden James, Herbert French, Erich von Stroheim, Nathaniel Sack To avoid unwanted attention at her next job, a young professional disguises herself, leading to some unintended consequences."
88,Where Are My Children?,"Where Are My Children? Where Are My Children? Drama Phillips Smalley, Lois Weber Lucy Payton, Franklyn Hall Lois Weber Productions Tyrone Power Sr., Mrs. Tyrone Power, Marie Walcamp, Cora Drew, Rena Rogers, Alva D. Blake, Juan de la Cruz, C. Norman Hammond, William J. Hope, Marjorie Blynn, William Haben A District Attorney's outspoken stand on abortion gets him in trouble with the local community."
89,'49-'17,"'49-'17 '49-'17 Drama, Western Ruth Ann Baldwin William Wallace Cook, Ruth Ann Baldwin Universal Film Manufacturing Company Joseph W. Girard, Leo Pierson, William Dyer, Mattie Witting, George C. Pearce, Jean Hersholt, Donna Drew A retired judge comes West to restore a ghost town."
90,Bucking Broadway,"Bucking Broadway Bucking Broadway Western John Ford George Hively Universal Film Manufacturing Company Harry Carey, Molly Malone, L.M. Wells, Vester Pegg, William Steele A ranch foreman battles a rich stockbroker for the affections of a beautiful young woman."
